department_code,department_name,registered,abstentions,pct_abstention,voters,pct_voters,blank_votes,pct_blank_registered,pct_blank_voters,null_votes,pct_null_registered,pct_null_voters,valid_votes,pct_valid_registered,pct_valid_voters,votes_F-ARTHAUD-Nathalie,votes_M-ROUSSEL-Fabien,votes_M-MACRON-Emmanuel,votes_M-LASSALLE-Jean,votes_F-LE PEN-Marine,votes_M-ZEMMOUR-Eric,votes_M-MELENCHON-Jean-Luc,votes_F-HIDALGO-Anne,votes_M-JADOT-Yannick,votes_F-PECRESSE-Valerie,votes_M-POUTOU-Philippe,votes_M-DUPONT-AIGNAN-Nicolas,unemployment_rate,median_income,households_count,pct_taxed_households,pct_immigrants,crime_taux_autres_coups_et_blessures_volontaires--(victime),crime_taux_cambriolages_de_logement--(infraction),crime_taux_coups_et_blessures_volontaires--(victime),crime_taux_coups_et_blessures_volontaires_intrafamiliaux--(victime),crime_taux_destructions_et_degradations_volontaires--(infraction),crime_taux_escroqueries--(victime),crime_taux_homicides--(victime),crime_taux_tentatives_d'homicides--(victime),crime_taux_trafic_de_stupefiants--(mis_en_cause),crime_taux_usage_de_stupefiants--(mis_en_cause),crime_taux_usage_de_stupefiants_(afd)--(mis_en_cause),crime_taux_violences_sexuelles--(victime),crime_taux_vols_avec_armes--(infraction),crime_taux_vols_d'accessoires_sur_vehicules--(vehicule),crime_taux_vols_dans_les_vehicules--(vehicule),crime_taux_vols_de_vehicules--(vehicule),crime_taux_vols_sans_violence_contre_des_personnes--(victime_entendue),crime_taux_vols_violents_sans_arme--(infraction),crime_n_autres_coups_et_blessures_volontaires--(victime),crime_n_cambriolages_de_logement--(infraction),crime_n_coups_et_blessures_volontaires--(victime),crime_n_coups_et_blessures_volontaires_intrafamiliaux--(victime),crime_n_destructions_et_degradations_volontaires--(infraction),crime_n_escroqueries--(victime),crime_n_homicides--(victime),crime_n_tentatives_d'homicides--(victime),crime_n_trafic_de_stupefiants--(mis_en_cause),crime_n_usage_de_stupefiants--(mis_en_cause),crime_n_usage_de_stupefiants_(afd)--(mis_en_cause),crime_n_violences_sexuelles--(victime),crime_n_vols_avec_armes--(infraction),crime_n_vols_d'accessoires_sur_vehicules--(vehicule),crime_n_vols_dans_les_vehicules--(vehicule),crime_n_vols_de_vehicules--(vehicule),crime_n_vols_sans_violence_contre_des_personnes--(victime_entendue),crime_n_vols_violents_sans_arme--(infraction),zone
43,Haute-Loire,180706,37000,20.48,143706,79.52,2837,1.57,1.97,1214,0.67,0.84,139655,77.28,97.18,1020,3493,32417,7817,38629,9529,24332,2491,5796,9560,1205,3366,5.6,22100.0,103670.0,45.5,3.6,1.3630726,3.4220067,3.0548604,1.6917878,6.4428189,5.5487134,0.0,0.0175315,0.2980352,4.3653385,1.5383874,1.2009064,0.0306801,1.012443,1.3630726,0.8064481,3.304684,0.1577833,311.0,497.0,697.0,386.0,1470.0,1266.0,0.0,4.0,68.0,996.0,351.0,274.0,7.0,231.0,311.0,184.0,754.0,36.0,metro
44,Loire-Atlantique,1056693,236339,22.37,820354,77.63,13373,1.27,1.63,4559,0.43,0.56,802422,75.94,97.81,4712,18322,256609,18298,135702,42761,187977,18369,60072,37541,7280,14779,5.7,24120.0,630748.0,56.1,5.6,2.0126857,8.6015088,4.0036493,1.9909636,7.3861831,5.4963629,0.0156127,0.0468382,0.5091111,2.3140794,1.2327276,1.5558434,0.1384782,2.8829262,7.1295912,3.0281925,10.2949043,0.7514479,2965.0,6771.0,5898.0,2933.0,10881.0,8097.0,23.0,69.0,750.0,3409.0,1816.0,2292.0,204.0,4247.0,10503.0,4461.0,15166.0,1107.0,metro
45,Loiret,457550,114468,25.02,343082,74.98,5512,1.2,1.61,2148,0.47,0.63,335422,73.31,97.77,1959,7530,97004,8483,85832,22878,63486,5656,14401,18086,2433,7674,7.1,23090.0,293563.0,55.3,10.6,1.7552975,4.8423908,4.2237757,2.4684781,6.1682844,6.1857501,0.0130992,0.0538524,0.3333028,2.5077759,1.2851805,1.7727632,0.0785954,1.286636,2.0667683,1.215318,5.5366102,0.4148091,1206.0,1712.0,2902.0,1696.0,4238.0,4250.0,9.0,37.0,229.0,1723.0,883.0,1218.0,54.0,884.0,1420.0,835.0,3804.0,285.0,metro
46,Lot,139278,27164,19.5,112114,80.5,1767,1.27,1.58,957,0.69,0.85,109390,78.54,97.57,618,3559,27311,8032,21422,6123,25932,2766,4603,5648,976,2400,7.3,21910.0,80385.0,46.8,7.2,1.4064457,2.5662927,3.2228676,1.8164218,5.933265,5.8649357,0.0113882,0.0113882,0.4612231,2.0612686,0.6263524,1.8050336,0.0227764,0.7060699,1.1786812,0.8085639,4.5382075,0.1708234,247.0,310.0,566.0,319.0,1042.0,1030.0,2.0,2.0,81.0,362.0,110.0,317.0,4.0,124.0,207.0,142.0,797.0,30.0,metro
47,Lot-et-Garonne,241304,52907,21.93,188397,78.07,2793,1.16,1.48,1502,0.62,0.8,184102,76.29,97.72,889,4970,42568,13600,50290,15646,34044,3357,5686,7703,1437,3912,7.4,21050.0,145205.0,43.7,9.6,2.0919495,5.423157,4.8581387,2.7661893,7.3323581,5.2554586,0.01505,0.01806,0.3581899,1.7036596,0.8036698,1.4508196,0.01505,0.9993197,2.3628494,1.0143697,6.4745083,0.3130399,695.0,1026.0,1614.0,919.0,2436.0,1746.0,5.0,6.0,119.0,566.0,267.0,482.0,5.0,332.0,785.0,337.0,2151.0,104.0,metro
48,Lozere,59812,11680,19.53,48132,80.47,741,1.24,1.54,395,0.66,0.82,46996,78.57,97.64,235,1343,10739,4722,10497,3148,9153,1045,1736,3039,426,913,4.7,21580.0,34028.0,45.8,5.4,1.333281,1.3385722,2.9541325,1.6208515,5.5161236,3.790701,0.0,0.0,0.1568566,2.0652785,0.5228553,1.673137,0.0130714,1.2548528,1.0064965,0.5489981,3.5554161,0.1437852,102.0,83.0,226.0,124.0,422.0,290.0,0.0,0.0,12.0,158.0,40.0,128.0,1.0,96.0,77.0,42.0,272.0,11.0,metro
49,Maine-et-Loire,589263,136866,23.23,452397,76.77,8072,1.37,1.78,2983,0.51,0.66,441342,74.9,97.56,3071,8362,157063,11036,89433,21704,80616,8801,26635,21538,3663,9420,6.5,22500.0,346898.0,48.7,4.5,1.3427503,3.9459952,3.2204272,1.8776769,6.4094591,4.8747149,0.0096601,0.0567529,0.3356876,1.3886356,0.4431559,1.6156474,0.0386403,1.7690011,2.3063427,1.6530802,5.5231473,0.2801421,1112.0,1604.0,2667.0,1555.0,5308.0,4037.0,8.0,47.0,278.0,1150.0,367.0,1338.0,32.0,1465.0,1910.0,1369.0,4574.0,232.0,metro
50,Manche,384613,93460,24.3,291153,75.7,4747,1.23,1.63,1948,0.51,0.67,284458,73.96,97.7,2249,7368,92642,9421,69770,13990,46940,5853,11873,14746,2720,6886,5.1,22480.0,229811.0,49.1,2.8,1.3425521,2.0896627,3.2527198,1.9101678,6.094824,4.2671819,0.0080513,0.0402564,0.1529744,1.7330395,0.9359621,1.6082445,0.0201282,0.5595644,1.2278212,0.8172056,4.4040538,0.1771283,667.0,632.0,1616.0,949.0,3028.0,2120.0,4.0,20.0,76.0,861.0,465.0,799.0,10.0,278.0,610.0,406.0,2188.0,88.0,metro
51,Marne,380644,101010,26.54,279634,73.46,3826,1.01,1.37,1702,0.45,0.61,274106,72.01,98.02,1778,5307,78472,6921,83756,19501,42858,3542,9561,14357,1894,6159,7.1,22830.0,244352.0,53.1,6.8,2.1963918,4.9348867,5.2897766,3.0933848,8.6774318,5.4298209,0.0159544,0.037227,0.3793607,2.9320679,1.2302631,1.6929412,0.0833175,1.8258947,3.5737901,2.0244386,7.0447628,0.6488131,1239.0,1485.0,2984.0,1745.0,4895.0,3063.0,9.0,21.0,214.0,1654.0,694.0,955.0,47.0,1030.0,2016.0,1142.0,3974.0,366.0,metro
52,Haute-Marne,129389,33273,25.72,96116,74.28,1489,1.15,1.55,819,0.63,0.85,93808,72.5,97.6,696,1833,21886,3327,34331,6450,13228,1305,2580,4841,747,2584,6.4,21350.0,78150.0,46.0,4.4,2.0840079,4.726184,4.9804256,2.8964177,8.5244164,4.4034969,0.005887,0.0353222,0.2590292,2.9729491,1.1244223,1.7661084,0.0117741,2.2194095,2.0604598,1.259824,4.7567186,0.1295146,354.0,476.0,846.0,492.0,1448.0,748.0,1.0,6.0,44.0,505.0,191.0,300.0,2.0,377.0,350.0,214.0,808.0,22.0,metro
